Model,Accuracy,Weighted F1,Macro ROC-AUC (OvR),Weighted ROC-AUC (OvR)
CNN,0.5815798823575856,0.5330891406283997,0.7594027449042254,0.7743631848872561
ResNet-50,0.4968615530377798,0.5198407717162051,0.8115629252713411,0.8117378067670324
DenseNet-121,0.6842209150842841,0.6537574303278629,0.8882756145214816,0.8872782723141709
EfficientNet-B3,0.6344005368915558,0.5774357842943735,0.8729726348402297,0.8770207705526846
ConvNeXt-Tiny,0.6962614977695314,0.6754596515018259,0.9021313593429523,0.9053207525661989
MobileNetV3-L,0.6430065927124867,0.6017242628764271,0.8592444714755968,0.8570414005739119
ViT,0.6650744147487269,0.6239030100406873,0.8995361630252915,0.896218235445882
Ensemble,0.6829971181556196,0.6446428396652635,0.8980562703478914,0.9011074806786985
