Model,AKIEC,BCC,BKL,DF,MEL,NV,VASC
CNN,0.13,0.32,0.32,0.00,0.32,0.76,0.56
ResNet-50,0.24,0.37,0.31,0.15,0.27,0.73,0.26
DenseNet-121,0.34,0.46,0.49,0.43,0.52,0.82,0.71
EfficientNet-B3,0.33,0.38,0.40,0.23,0.37,0.77,0.74
ConvNeXt-Tiny,0.37,0.44,0.52,0.47,0.53,0.85,0.75
MobileNetV3-L,0.23,0.38,0.43,0.34,0.44,0.80,0.68
ViT,0.19,0.43,0.46,0.39,0.48,0.81,0.74
