Model,Accuracy,F1 (weighted),"AUC (macro, OvR)","AUC (micro, OvR)"
cnn,"0.8253 [0.8093, 0.8422]","0.8127 [0.7948, 0.8303]","0.9588 [0.9517, 0.9648]","0.9794 [0.9763, 0.9823]"
resnet50,"0.6688 [0.6480, 0.6890]","0.6985 [0.6795, 0.7168]","0.9295 [0.9209, 0.9371]","0.9361 [0.9300, 0.9422]"
densenet121,"0.9490 [0.9391, 0.9581]","0.9484 [0.9375, 0.9575]","0.9953 [0.9930, 0.9970]","0.9973 [0.9963, 0.9982]"
efficientnet_b3,"0.9556 [0.9466, 0.9641]","0.9552 [0.9453, 0.9637]","0.9955 [0.9935, 0.9971]","0.9977 [0.9968, 0.9985]"
convnext_tiny,"0.8182 [0.8013, 0.8347]","0.7825 [0.7617, 0.8031]","0.9654 [0.9577, 0.9718]","0.9731 [0.9688, 0.9775]"
mobilenet_v3,"0.9405 [0.9301, 0.9511]","0.9403 [0.9299, 0.9505]","0.9931 [0.9907, 0.9951]","0.9964 [0.9951, 0.9974]"
vit,"0.9686 [0.9611, 0.9760]","0.9680 [0.9602, 0.9761]","0.9953 [0.9924, 0.9975]","0.9976 [0.9965, 0.9985]"
ensemble_mean,"0.9717 [0.9641, 0.9785]","0.9710 [0.9631, 0.9783]","0.9987 [0.9980, 0.9993]","0.9990 [0.9985, 0.9994]"
