Model,Accuracy,F1 (weighted),"AUC (macro, OvR)","AUC (micro, OvR)"
CNN,0.7898152770843735,0.7762603090373491,0.9387710483483234,0.971215418509779
ResNet-50,0.6849725411882177,0.7141935504047355,0.9318883244014714,0.9385550148732634
DenseNet-121,0.8786819770344483,0.8741689280895698,0.978595727039948,0.9892306655676328
EfficientNet-B3,0.8996505242136795,0.898354713546309,0.98181807813976,0.9905310739166671
ConvNeXt-Tiny,0.9126310534198702,0.912419240926118,0.988182456630561,0.9937127093516821
MobileNetV3-L,0.8587119321018473,0.8551030674162419,0.9720473374965639,0.9857342667975073
ViT,0.9590614078881677,0.9584811182128704,0.9959102385823008,0.9977667049101834
Ensemble,0.9385921118322517,0.9374043995528882,0.9951300550009723,0.9971330655871743
