Model,Delta Accuracy,Delta Weighted F1,Delta Macro ROC-AUC (OvR),Delta Micro ROC-AUC (OvR)
CNN,0.14877683474787817,0.16114409051553913,0.056359006652648924,0.0259176470773953
ResNet-50,0.25361957064403395,0.2232108491481527,0.06324173059950089,0.05857805071391087
DenseNet-121,0.05991013479780338,0.06323547146331843,0.016534327961024275,0.007902400019541456
EfficientNet-B3,0.03894158761857214,0.03904968600657921,0.013311976861212327,0.006601991670507235
ConvNeXt-Tiny,0.0259610584123815,0.0249851586267702,0.0069475983704112565,0.0034203562354921946
MobileNetV3-L,0.0798801797304044,0.08230133213664637,0.02308271750440838,0.011398798789666986
ViT,-0.020469296055916075,-0.021076718659982174,-0.0007801835813284752,-0.0006336393230090831
