Model,Params (M),Accuracy,F1 (weighted),"AUC (macro, OvR)","AUC (micro, OvR)"
vit,85.804,0.9591,0.9585,0.9959,0.9978
ensemble_mean,,0.9246,0.9215,0.9944,0.9961
efficientnet_b3,10.707,0.8997,0.8984,0.9818,0.9905
densenet121,6.961,0.8787,0.8742,0.9786,0.9892
mobilenet_v3,4.211,0.8587,0.8551,0.972,0.9857
cnn,26.084,0.7898,0.7763,0.9388,0.9712
convnext_tiny,27.826,0.7858,0.7403,0.9367,0.9593
resnet50,23.522,0.685,0.7142,0.9319,0.9386
