Model,Accuracy,Weighted F1,Macro ROC-AUC (OvR),Micro ROC-AUC (OvR)
CNN,"0.7898 [0.7718, 0.8083]","0.7763 [0.7563, 0.7958]","0.9388 [0.9299, 0.9465]","0.9712 [0.9671, 0.9748]"
ResNet-50,"0.6850 [0.6625, 0.7050]","0.7142 [0.6947, 0.7320]","0.9319 [0.9229, 0.9399]","0.9386 [0.9320, 0.9444]"
DenseNet-121,"0.8787 [0.8642, 0.8932]","0.8742 [0.8582, 0.8885]","0.9786 [0.9735, 0.9834]","0.9892 [0.9868, 0.9913]"
EfficientNet-B3,"0.8997 [0.8862, 0.9121]","0.8984 [0.8847, 0.9113]","0.9818 [0.9777, 0.9860]","0.9905 [0.9884, 0.9926]"
ConvNeXt-Tiny,"0.9126 [0.9006, 0.9246]","0.9124 [0.9001, 0.9244]","0.9882 [0.9835, 0.9918]","0.9937 [0.9920, 0.9953]"
MobileNetV3-L,"0.8587 [0.8432, 0.8742]","0.8551 [0.8386, 0.8704]","0.9720 [0.9666, 0.9767]","0.9857 [0.9831, 0.9880]"
ViT,"0.9591 [0.9506, 0.9666]","0.9585 [0.9494, 0.9662]","0.9959 [0.9931, 0.9980]","0.9978 [0.9967, 0.9986]"
Ensemble,"0.9386 [0.9281, 0.9491]","0.9374 [0.9266, 0.9482]","0.9951 [0.9937, 0.9963]","0.9971 [0.9964, 0.9978]"
