Model,ECE
ViT,0.01369832950833436
CNN,0.03126047006322333
EfficientNet-B3,0.04455687194184782
ConvNeXt-Tiny,0.05465459228454678
MobileNetV3-L,0.06663441800856912
DenseNet-121,0.06963576447112643
ResNet-50,0.0933374117760437
Ensemble,0.1153891667745974
